User_Email,Skill_Name
Mohamed4@gmail.com,help desk
Mohamed4@gmail.com,telesales
Mohamed4@gmail.com,flowcharts
Mohamed4@gmail.com,windows forms
Najma3@live.com,accounting software
Najma3@live.com,cloudformation
Najma3@live.com,communication
Najma3@live.com,shipping
Naglaa14@live.com,experience
Naglaa14@live.com,solid oop principles
Naglaa14@live.com,pc
Naglaa14@live.com,team lead
Yahia5@live.com,google ads
Yahia5@live.com,web
Yahia5@live.com,project coordinator
Yahia5@live.com,reporting analysis
Hussein15@outlook.com,cisco switch
Hussein15@outlook.com,load runner
Hussein15@outlook.com,offline storage
Hussein15@outlook.com,pp
Nabilah9@hotmail.com,pos sales
Nabilah9@hotmail.com,compesation & benefits
Nabilah9@hotmail.com,sentry
Nabilah9@hotmail.com,data warehouse
Omar11@live.com,rfp
Omar11@live.com,linux platform
Omar11@live.com,mcts
Omar11@live.com,mobile application testing
Nahid12@yahoo.com,xamarin
Nahid12@yahoo.com,automation anywhere
Nahid12@yahoo.com,phongap
Nahid12@yahoo.com,security engineer
Nadine9@live.com,data entry
Nadine9@live.com,s3
Nadine9@live.com,graphical user interface
Nadine9@live.com,ejb 3
Hassan10@live.com,n+
Hassan10@live.com,unity framework
Hassan10@live.com,lan
Hassan10@live.com,communication skills
Mahmoud1@outlook.com,use cases
Mahmoud1@outlook.com,property sales
Mahmoud1@outlook.com,brand
Mahmoud1@outlook.com,web graphics
Amr2@hotmail.com,financial modeling
Amr2@hotmail.com,bpm
Amr2@hotmail.com,android sdk
Amr2@hotmail.com,navisworks
Omar14@yahoo.com,sap hybris
Omar14@yahoo.com,adobe indesign
Omar14@yahoo.com,ehs
Omar14@yahoo.com,prometheus
Nour5@live.com,total quality management
Nour5@live.com,apache2
Nour5@live.com,ng2
Nour5@live.com,partnership
Yahia2@live.com,tfs
Yahia2@live.com,user interface
Yahia2@live.com,hyper-v
Yahia2@live.com,dutch
Najeeba12@gmail.com,production
Najeeba12@gmail.com,jdbc
Najeeba12@gmail.com,labor legislation
Najeeba12@gmail.com,dynamics ax 2012
Nahed5@live.com,risk
Nahed5@live.com,ood
Nahed5@live.com,google adwords
Nahed5@live.com,android application development
Noha1@gmail.com,ux design
Noha1@gmail.com,rfp
Noha1@gmail.com,customer service
Noha1@gmail.com,oracle financial consultant
Ahmed2@hotmail.com,content writing
Ahmed2@hotmail.com,software test
Ahmed2@hotmail.com,pc
Ahmed2@hotmail.com,odoo development
Najiyah5@live.com,laravel
Najiyah5@live.com,istqb
Najiyah5@live.com,oracle ebs
Najiyah5@live.com,data modeling
Nabilah8@hotmail.com,user interface (ui)
Nabilah8@hotmail.com,embedded systems
Nabilah8@hotmail.com,toeic
Nabilah8@hotmail.com,ruby
Najat13@hotmail.com,red hat linux
Najat13@hotmail.com,jmeter
Najat13@hotmail.com,graphics
Najat13@hotmail.com,presentation skills
Omar12@hotmail.com,firewall administration
Omar12@hotmail.com,adobe after effect
Omar12@hotmail.com,angularjs
Omar12@hotmail.com,sound editor
Tarek4@outlook.com,siem
Tarek4@outlook.com,juniper
Tarek4@outlook.com,electronics
Tarek4@outlook.com,graphic
Youssef13@outlook.com,photoshop
Youssef13@outlook.com,xml
Youssef13@outlook.com,windows desktop
Youssef13@outlook.com,consulting services
Mina14@yahoo.com,angular js
Mina14@yahoo.com,english instructing
Mina14@yahoo.com,functional consultant
Mina14@yahoo.com,architectural patterns
Nadine11@hotmail.com,compliance
Nadine11@hotmail.com,hcm
Nadine11@hotmail.com,project management
Nadine11@hotmail.com,oracle developer
Naglaa5@yahoo.com,problem solving
Naglaa5@yahoo.com,search engine
Naglaa5@yahoo.com,sharepoint
Naglaa5@yahoo.com,selling
Najiyah8@gmail.com,human resource management (hrm)
Najiyah8@gmail.com,flask
Najiyah8@gmail.com,ap
Najiyah8@gmail.com,web graphics
Amr8@live.com,cd
Amr8@live.com,jasper developer
Amr8@live.com,digital services
Amr8@live.com,aps
Najma4@gmail.com,programming
Najma4@gmail.com,adobe captivate
Najma4@gmail.com,linux system administration
Najma4@gmail.com,react js
Kareem13@yahoo.com,programming
