Comp_Name,Job_Title,Location,User_Email,Application_Date,Cover_Letter
Confidential Company,UI UX Designer,"Cairo, Egypt",Mohamed4@gmail.com,2021-01-01,"I sing all the time, Please hire me"
LCM North Africa Middle East,IT Administrator," 
10th of Ramadan City, Cairo",Najma3@live.com,2022-01-01,"I sing all the time, Please hire me"
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",Naglaa14@live.com,2020-01-01,"I sing all the time, Please hire me"
Confidential Company,IT Backup Engineer,"Cairo, Egypt",Yahia5@live.com,2020-01-01,"I sing all the time, Please hire me"
Confidential Company,Full Stack Team Lead,"Cairo, Egypt",Hussein15@outlook.com,2021-01-01,"I sing all the time, Please hire me"
Sky Distribution,Application Support - Microsoft dynamic Ax," 
Sheikh Zayed, Giza",Nabilah9@hotmail.com,2023-01-01,"I sing all the time, Please hire me"
LINK Development,.Net Development Manager," 
Maadi, Cairo",Omar11@live.com,2023-01-01,"I sing all the time, Please hire me"
Confidential Company,IT Officer,"Cairo, Egypt",Nahid12@yahoo.com,2023-01-01,"I sing all the time, Please hire me"
Edentech,Senior Business Analyst," 
Heliopolis, Cairo",Nadine9@live.com,2019-01-01,"I sing all the time, Please hire me"
Confidential Company,IT Help Desk Technician,"Cairo, Egypt",Hassan10@live.com,2019-01-01,"I sing all the time, Please hire me"
