Email,Username,Gender,Birth_Date,GPA
Mohamed4@gmail.com,Mohamed4,M,1981-01-01,3.2
Najma3@live.com,Najma3,F,1976-01-01,3.3
Naglaa14@live.com,Naglaa14,F,1993-01-01,3.1
Yahia5@live.com,Yahia5,M,1993-01-01,3.7
Hussein15@outlook.com,Hussein15,M,1978-01-01,3.6
Nabilah9@hotmail.com,Nabilah9,F,1993-01-01,3.0
Omar11@live.com,Omar11,M,1999-01-01,3.1
Nahid12@yahoo.com,Nahid12,F,2003-01-01,3.8
Nadine9@live.com,Nadine9,F,1983-01-01,3.7
Hassan10@live.com,Hassan10,M,1984-01-01,3.1
Mahmoud1@outlook.com,Mahmoud1,M,2003-01-01,3.2
Amr2@hotmail.com,Amr2,M,1992-01-01,3.0
Omar14@yahoo.com,Omar14,M,1994-01-01,3.0
Nour5@live.com,Nour5,F,1996-01-01,3.1
Yahia2@live.com,Yahia2,M,1975-01-01,3.4
Najeeba12@gmail.com,Najeeba12,F,1990-01-01,3.7
Nahed5@live.com,Nahed5,F,1991-01-01,3.0
Noha1@gmail.com,Noha1,F,2000-01-01,3.8
Ahmed2@hotmail.com,Ahmed2,M,1990-01-01,3.4
Najiyah5@live.com,Najiyah5,F,1994-01-01,3.5
Nabilah8@hotmail.com,Nabilah8,F,1995-01-01,3.6
Najat13@hotmail.com,Najat13,F,1983-01-01,3.4
Omar12@hotmail.com,Omar12,M,1975-01-01,3.3
Tarek4@outlook.com,Tarek4,M,1995-01-01,3.4
Youssef13@outlook.com,Youssef13,M,1993-01-01,3.3
Mina14@yahoo.com,Mina14,M,1996-01-01,3.7
Nadine11@hotmail.com,Nadine11,F,1975-01-01,3.3
Naglaa5@yahoo.com,Naglaa5,F,1981-01-01,3.9
Najiyah8@gmail.com,Najiyah8,F,1979-01-01,3.0
Amr8@live.com,Amr8,M,1999-01-01,3.0
Najma4@gmail.com,Najma4,F,1974-01-01,3.7
Kareem13@yahoo.com,Kareem13,M,1977-01-01,3.9
Nadine3@gmail.com,Nadine3,F,1991-01-01,3.9
Najibah12@live.com,Najibah12,F,1989-01-01,3.2
Mohamed8@gmail.com,Mohamed8,M,1993-01-01,3.9
Nour13@hotmail.com,Nour13,F,1983-01-01,3.0
Noha3@live.com,Noha3,F,1974-01-01,3.2
Najat9@live.com,Najat9,F,1990-01-01,3.0
Najat14@outlook.com,Najat14,F,1988-01-01,3.8
Nahed14@yahoo.com,Nahed14,F,1992-01-01,3.4
Naglaa4@outlook.com,Naglaa4,F,1999-01-01,3.0
Nahla6@live.com,Nahla6,F,1993-01-01,4.0
Noha7@yahoo.com,Noha7,F,1991-01-01,3.9
Amr14@yahoo.com,Amr14,M,1975-01-01,3.7
Amr13@gmail.com,Amr13,M,1987-01-01,3.1
Khaled1@gmail.com,Khaled1,M,1986-01-01,3.1
Najat2@gmail.com,Najat2,F,1987-01-01,4.0
Hassan7@gmail.com,Hassan7,M,1997-01-01,3.8
Hassan8@yahoo.com,Hassan8,M,1983-01-01,3.6
Najila5@outlook.com,Najila5,F,1985-01-01,3.7
Hesham12@hotmail.com,Hesham12,M,1977-01-01,3.1
Nada1@yahoo.com,Nada1,F,1991-01-01,3.9
Hany4@yahoo.com,Hany4,M,1994-01-01,3.6
Najwa14@outlook.com,Najwa14,F,1987-01-01,3.9
Tarek15@outlook.com,Tarek15,M,2002-01-01,3.3
Ali14@hotmail.com,Ali14,M,1988-01-01,4.0
Mina9@outlook.com,Mina9,M,1975-01-01,3.6
Najeeba14@outlook.com,Najeeba14,F,1974-01-01,3.3
Najila6@outlook.com,Najila6,F,1994-01-01,3.7
Nahla14@live.com,Nahla14,F,1976-01-01,4.0
Mahmoud13@yahoo.com,Mahmoud13,M,1990-01-01,3.2
Tarek13@yahoo.com,Tarek13,M,1989-01-01,3.1
Nagwa13@live.com,Nagwa13,F,2000-01-01,3.3
Nermeen3@yahoo.com,Nermeen3,F,1981-01-01,3.7
Tarek10@yahoo.com,Tarek10,M,2001-01-01,3.7
Hussein10@live.com,Hussein10,M,1993-01-01,3.4
Nahla9@live.com,Nahla9,F,1981-01-01,3.0
Tarek9@yahoo.com,Tarek9,M,1976-01-01,3.7
Hany11@live.com,Hany11,M,1993-01-01,3.4
Nahla11@hotmail.com,Nahla11,F,1996-01-01,4.0
Ahmed3@live.com,Ahmed3,M,1985-01-01,3.1
Mina4@live.com,Mina4,M,1979-01-01,3.3
Najma2@live.com,Najma2,F,1996-01-01,4.0
Nada14@outlook.com,Nada14,F,1992-01-01,3.2
Ali5@gmail.com,Ali5,M,1991-01-01,3.4
Nadine1@gmail.com,Nadine1,F,1994-01-01,3.1
Nermeen11@live.com,Nermeen11,F,1999-01-01,3.0
Naglaa12@gmail.com,Naglaa12,F,1986-01-01,3.1
Mahmoud9@yahoo.com,Mahmoud9,M,1998-01-01,3.3
Hesham2@yahoo.com,Hesham2,M,1988-01-01,3.1
Najwa6@hotmail.com,Najwa6,F,1973-01-01,3.6
Kareem5@yahoo.com,Kareem5,M,1988-01-01,3.7
Nada8@live.com,Nada8,F,1998-01-01,3.4
Mohamed7@outlook.com,Mohamed7,M,1994-01-01,3.1
Nahla1@live.com,Nahla1,F,1973-01-01,3.0
Hany12@outlook.com,Hany12,M,1998-01-01,3.0
Nesma15@gmail.com,Nesma15,F,2001-01-01,3.0
Najat6@live.com,Najat6,F,1974-01-01,3.4
Najat4@outlook.com,Najat4,F,1973-01-01,3.9
Hesham1@gmail.com,Hesham1,M,1973-01-01,3.3
Nahla12@hotmail.com,Nahla12,F,1973-01-01,3.6
Yahia4@hotmail.com,Yahia4,M,1976-01-01,4.0
Najat7@live.com,Najat7,F,1992-01-01,3.3
Nagwa9@hotmail.com,Nagwa9,F,1979-01-01,3.3
Nour14@hotmail.com,Nour14,F,1981-01-01,3.3
Mohamed1@live.com,Mohamed1,M,2002-01-01,3.8
Yahia6@hotmail.com,Yahia6,M,1978-01-01,3.0
Najiyah10@hotmail.com,Najiyah10,F,1998-01-01,3.8
Nahed2@gmail.com,Nahed2,F,1980-01-01,3.9
Najma1@gmail.com,Najma1,F,1991-01-01,3.0
